"Team","Team_Index","Player","FirstName","LastName","Age","GamesPlayed","GamesStarted","MinutesPlayed","FieldGoalsPerGame","FieldGoalAttemptsPerGame","FieldGoalPercentPerGame","ThreePointFieldGoalsPerGame","ThreePointFieldGoalAttemptsPerGame","ThreePointFieldGoalPercentPerGame","TwoPointFieldGoalsPerGame","TwoPointFieldGoalAttemptsPerGame","TwoPointFieldGoalPercentPerGame","EffectiveFieldGoalPercent","FreeThrowsPerGame","FreeThrowAttemptsPerGame","FreeThrowPercentPerGame","OffensiveReboundsPerGame","DefensiveReboundsPerGame","TotalReboundsPerGame","AssistsPerGame","StealsPerGame","BlocksPerGame","TurnoversPerGame","PersonalFoulsPerGame","PointsPerGame","PER","Position","Player_ID"
"BRK",3,"dorian finney-smith","dorian","finney-smith",30,68,56,28.4,3.2,7.5,0.421,1.7,4.9,0.348,1.4,2.6,0.56,0.535,0.5,0.7,0.717,1.6,3.1,4.7,1.6,0.8,0.6,0.9,2.2,8.5,0.158823529411765,"pf",3006
"BRK",3,"jalen wilson","jalen","wilson",23,43,3,15.4,1.8,4.2,0.425,0.6,1.7,0.324,1.2,2.4,0.495,0.492,0.9,1.1,0.826,1.1,2,3,1,0.3,0.1,0.4,1.1,5,0.148837209302326,"pf",3013
"BRK",3,"lonnie walker iv","lonnie","walker",25,58,0,17.4,3.6,8.5,0.423,1.8,4.7,0.384,1.8,3.8,0.471,0.528,0.8,1,0.763,0.2,2,2.2,1.3,0.6,0.3,0.9,1.2,9.7,0.139655172413793,"sg",3007
"BRK",3,"trendon watford","trendon","watford",23,63,2,13.6,2.6,4.9,0.527,0.4,1.1,0.397,2.2,3.9,0.564,0.571,1.2,1.5,0.794,0.8,2.3,3.1,1.3,0.4,0.3,1,1.7,6.9,0.133333333333333,"pf",3008
"CHA",4,"mark williams","mark","williams",22,19,19,26.7,5.2,7.9,0.649,0,0,0,5.2,7.9,0.649,0.649,2.4,3.4,0.719,4,5.7,9.7,1.2,0.8,1.1,0.9,2.6,12.7,1.1,"c",4013
"CHA",4,"lamelo ball","lamelo","ball",22,22,22,32.3,8.3,19.2,0.433,3.2,9,0.355,5.1,10.3,0.5,0.515,4.1,4.7,0.865,1.3,3.8,5.1,8,1.8,0.2,3.8,3.6,23.9,1.07727272727273,"pg",4015
"CHA",4,"cody martin","cody","martin",28,28,22,26.9,2.9,7.7,0.381,1,3.1,0.314,2,4.6,0.426,0.444,0.7,1.2,0.606,0.7,3.2,3.9,3.7,1.1,0.6,1.6,1.7,7.5,0.353571428571429,"sf",4007
"CHA",4,"miles bridges","miles","bridges",25,69,67,37.4,8.1,17.5,0.462,2.3,6.5,0.349,5.8,11,0.529,0.527,2.5,3.1,0.825,1,6.3,7.3,3.3,0.9,0.5,2,1.7,21,0.304347826086957,"sf",4006
"CHA",4,"nick richards","nick","richards",26,67,51,26.3,3.9,5.6,0.691,0,0,0,3.9,5.6,0.693,0.691,2,2.7,0.737,2.6,5.5,8,0.8,0.4,1.1,1.1,2.6,9.7,0.246268656716418,"c",4001
"CHA",4,"frank ntilikina","frank","ntilikina",25,5,0,8.6,0.2,1.8,0.111,0.2,1.6,0.125,0,0.2,0,0.167,0.4,0.4,1,0.2,1,1.2,0.8,0,0,0.2,0.8,1,0.24,"sg",4021
"CHA",4,"james bouknight","james","bouknight",23,14,0,5.8,1.3,2.9,0.439,0.9,2.1,0.433,0.4,0.8,0.455,0.598,0.1,0.1,0.5,0.1,0.6,0.6,0.4,0.1,0.1,0.1,0.2,3.6,0.221428571428571,"sg",4022
